TRANSACTION_NUMBER,TRANSACTION_DATE,STORE_NAME,NUMBER_OF_ITEMS,TOTAL_AMOUNT_SPENT($),FETCH_REWARDS_EARNED,SPECIAL_OFFER_BONUS(Y/N),EXCEPTION
1,01/15/2022,REMKE MARKETS,9,30.19,25,N,
2,01/15/2022,CVS,2,22.87,25,N,
3,01/16/2022,APPLEBEE’S,9,72.98,25,N,
4,01/18/2022,CVS,1,10.91,25,N,
5,01/25/2022,COSTCO,41,501.94,214,Y,
6,01/27/2022,SPEEDWAY,1,49.58,25,N,
7,01/31/2022,REMKE MARKETS,4,14.72,25,N,
8,01/31/2022,REMKE MARKETS,42,116.74,63,N,
9,02/02/2022,SPEEDWAY,1,15.22,25,N,
10,02/25/2022,SPEEDWAY,1,59.48,325,Y,
11,02/25/2022,COSTCO,49,500.38,44,N,
12,02/25/2022,BURGER KING,11,41.50,25,N,
13,02/26/2022,MCDONALD’S,9,22.53,25,N,
14,03/02/2022,REMKE MARKETS,4,26.56,25,N,
15,03/02/2022,REMKE MARKETS,4,19.68,25,N,
16,03/05/2022,THAWNG ASIAN GROCERY,15,47.65,25,N,
17,03/05/2022,KROGER,57,116.28,25,N,
18,03/07/2022,CITY BIRD,1,9.87,25,N,
19,03/07/2022,COLD STONE CREAMERY,1,3.00,25,N,
20,03/07/2022,STARBUCKS,2,12.40,25,N,
21,03/07/2022,CARTER’S SUPERMARKET,3,44.83,25,N,
22,03/16/2022,SHELL,1,69.82,25,N,
23,03/18/2022,CVS,1,38.99,25,N,
24,03/18/2022,FAMILY PRACTICE CENTER,1,25.00,25,N,
25,03/18/2022,FAMILY PRACTICE CENTER,1,25.00,25,N,
26,03/18/2022,REMKE MARKETS,9,30.19,25,N,
27,03/18/2022,CVS,2,22.87,25,N,
28,04/01/2022,OLIVE GARDEN,9,60.27,325,Y,
29,04/02/2022,KROGER,45,473.77,236,Y,
30,04/02/2022,DSW,1,13.77,0,N,OLD
31,04/02/2022,STARBUCKS,1,6.63,25,N,
32,04/22/2022,KROGER,38,134.49,469,Y,
33,04/22/2022,CVS,2,14.30,25,N,
34,04/22/2022,CVS,1,6.73,25,N,
35,04/22/2022,CVS,1,397.24,0,N,MISSING DATA
36,04/24/2022,COSTCO FUEL,1,59.56,25,N,
37,04/24/2022,COSTCO,4,8.45,25,N,
38,04/30/2022,DOMINO’S PIZZA,6,43.40,25,N,
39,04/30/2022,THE HOME DEPOT,1,31.48,25,N,
40,04/30/2022,THE HOME DEPOT,2,16.92,25,N,
41,04/30/2022,SUPER QUIK,1,2.99,25,N,
42,05/09/2022,PAY EACH TIME YOU PARK,1,5.00,25,N,
43,05/10/2022,MAI THAI RESTAURANT SUSHI BAR,1,36.98,25,N,
44,05/12/2022,THE HOME DEPOT,1,42.96,25,N,
45,05/13/2022,THE HOME DEPOT,1,42.96,25,N,
46,05/16/2022,CVS,1,31.84,25,N,
47,05/16/2022,CVS,1,13.24,25,N,
48,06/02/2022,VICTORIA’S SECRET,10,100.70,25,N,
49,06/02/2022,STEAK ‘N SHAKE,1,11.15,0,N,OLD
50,06/02/2022,THE HOME DEPOT,4,34.77,25,N,
51,06/02/2022,DILLARD’S,3,52.99,25,N,
52,06/02/2022,J.CREW,7,19.07,25,N,
53,06/02/2022,USPS,2,1.49,625,Y,
54,06/02/2022,COSTCO,41,503.08,0,N,OLD
55,06/02/2022,PANERA,5,17.06,25,N,
56,06/02/2022,REMKE MARKETS,26,104.07,35,N,
57,06/02/2022,MACY’S,2,19.50,25,N,
58,06/30/2022,COSTCO,26,379.11,874,Y,
59,6/30/22,TRADER JOE’S,17,43.93,0,N,OLD
60,06/30/2022,CVS,1,0.31,25,N,
61,06/30/2022,THE CHEESECAKE FACTORY,1,41.51,25,N,
62,07/08/2022,CVS,4,26.37,25,N,
63,07/08/2022,REMKE MARKETS,8,49.62,35,N,
64,7/8/2022,CVS,1,0.31,0,N,DUPLICATE
65,07/08/2022,CENTRAL MARKET,27,103.10,35,N,
66,07/08/2022,CVS,1,1.05,25,N,
67,07/08/2022,CVS,7,30.63,122,N,
68,07/11/2022,REMKE MARKETS,18,74.16,25,N,
69,07/23/2022,THAWNG ASIAN GROCERY,9,33.61,25,N,
70,7/23/22,KROGER,32,120.44,0,N,DUPLICATE
71,07/29/2022,REMKE MARKETS,7,44.10,25,N,
72,08/06/2022,REMKE MARKETS,2,8.46,25,N,
73,08/07/2022,REMKE MARKETS,24,85.38,42,N,
74,08/07/2022,COSTCO,36,491.56,25,N,
75,08/07/2022,REMKE MARKETS,3,29.23,25,N,
76,08/10/2022,MAHARAJA INTERNATIONAL GROCERY,2,12.98,25,N,
77,08/18/2022,CVS,1,11.65,25,N,
78,08/18/2022,REMKE MARKETS,5,17.99,25,N,
79,08/18/2022,TARGET,14,133.34,25,N,
80,08/18/2022,COSTCO FUEL,1,58.41,25,N,
81,08/18/2022,THAWNG ASIAN GROCERY,5,28.13,35,N,
82,08/18/2022,BATH & BODY WORKS,6,15.85,25,N,
83,08/18/2022,COSTCO,1,148.38,25,N,
84,08/19/2022,COSTCO,11,147.36,399,Y,
85,08/21/2022,MACY’S,1,26.49,25,N,
86,08/21/2022,OLIVE GARDEN,13,66.39,25,N,
87,08/21/2022,COSTCO,2,29.05,25,N,
88,9/7/2022,FAMILY PRACTICE CENTER,0,25.00,0,N,OLD
89,09/11/2022,KROGER,62,173.65,511,Y,
90,09/09/2022,CVS,3,30.00,25,N,
91,09/19/2022,REMKE MARKETS,2,29.23,25,N,
92,09/18/2022,COSTCO,14,476.29,25,N,
93,09/20/2022,SPEEDWAY,1,54.90,25,N,
94,09/21/2022,MCDONALD’S,2,10.15,25,N,
95,09/30/2022,COSTCO,18,203.04,25,N,
96,09/30/2022,KROGER,12,61.40,25,N,
97,09/30/2022,MAHARAJA INTERNATIONAL GROCERY,7,42.59,25,N,
